"","ID","Date","Phosphorus","Nitrogen","Chlorophyll","Secchi","Color","Temperature","Conductivity","Site","Sensor_Type","Salinity","Sun_Code","DO","Depth"
"161",161,2018-08-06 12:14:00,NA,NA,NA,NA,NA,31.2,38.16,4,"YSI",21,NA,11,1
"162",162,2018-08-06 12:35:00,NA,NA,NA,NA,NA,30.7,34.56,5,"YSI",19,NA,9,2
"163",163,2018-08-06 12:56:00,NA,NA,NA,NA,NA,29.7,18.71,6,"YSI",10,NA,8,1
"164",164,2018-08-06 13:10:00,NA,NA,NA,NA,NA,29.5,19.18,1,"YSI",10,NA,8,1
"165",165,2018-08-06 13:56:00,NA,NA,NA,NA,NA,30.7,23.91,2,"YSI",12,NA,5,1
"166",166,2018-04-30 09:30:00,133,1560,8,0.304878048780488,59,NA,4.58,1,"LAKEWATCH",NA,NA,NA,NA
"167",167,2018-04-30 10:31:00,100,1140,14,0.76219512195122,66,NA,13,2,"LAKEWATCH",NA,NA,NA,NA
"168",168,2018-04-30 10:49:00,91,1110,21,0.914634146341463,65,NA,17,3,"LAKEWATCH",NA,NA,NA,NA
"169",169,2018-04-30 08:15:00,73,800,20,0.365853658536585,56,NA,13,4,"LAKEWATCH",NA,NA,NA,NA
"170",170,2018-04-30 08:45:00,108,820,10,0.609756097560976,65,NA,5,5,"LAKEWATCH",NA,NA,NA,NA
"171",171,2018-04-30 09:10:00,115,1430,6,0.609756097560976,86,NA,5.38,6,"LAKEWATCH",NA,NA,NA,NA
"172",173,2018-05-24 08:04:00,57,840,6,1.21951219512195,26,NA,6,1,"LAKEWATCH",NA,NA,NA,NA
"173",174,2018-05-24 09:22:00,50,650,7,1.06707317073171,21,NA,18,2,"LAKEWATCH",NA,NA,NA,NA
"174",175,2018-05-24 10:28:00,54,540,11,1.06707317073171,19,NA,22,3,"LAKEWATCH",NA,NA,NA,NA
"175",176,2018-05-24 10:05:00,57,700,10,1.06707317073171,29,NA,24,4,"LAKEWATCH",NA,NA,NA,NA
"176",177,2018-05-24 09:41:00,54,650,10,1.06707317073171,24,NA,28,5,"LAKEWATCH",NA,NA,NA,NA
"177",178,2018-05-24 07:41:00,86,1130,9,1.06707317073171,29,NA,17,6,"LAKEWATCH",NA,NA,NA,NA
"178",179,2018-07-02 11:20:00,96,1330,1,0.701219512195122,142,NA,2.84,1,"LAKEWATCH",NA,NA,NA,NA
"179",180,2018-07-02 11:25:00,119,920,22,0.76219512195122,101,NA,12,2,"LAKEWATCH",NA,NA,NA,NA
"180",181,2018-07-02 11:35:00,86,750,10,0.914634146341463,53,NA,27,3,"LAKEWATCH",NA,NA,NA,NA
"181",182,2018-07-02 12:45:00,92,890,14,0.914634146341463,57,NA,28,4,"LAKEWATCH",NA,NA,NA,NA
"182",183,2018-07-02 09:30:00,94,730,24,0.76219512195122,78,NA,13,5,"LAKEWATCH",NA,NA,NA,NA
"183",184,2018-07-02 11:36:00,93,1170,1,0.701219512195122,146,NA,3.16,6,"LAKEWATCH",NA,NA,NA,NA
"184",185,2018-08-20 13:29:00,NA,NA,NA,NA,NA,29.8,1.1,1,"YSI",1,NA,9,1
"185",186,2018-08-20 16:03:00,NA,NA,NA,NA,NA,29.2,0.929,6,"YSI",0,NA,9,1
"186",187,2018-08-20 16:30:00,NA,NA,NA,NA,NA,32.5,10.1,5,"YSI",5,NA,9,1
"187",188,2018-08-20 16:50:00,NA,NA,NA,NA,NA,32.7,27.87,1,"YSI",15,NA,7,1
